nome;valence;acousticness;danceability;energy;instrumentalness;liveness;speechiness;uri;image;url;album
Sweater Weather;0.398;0.0495;0.612;0.807;0.0177;0.101;0.0336;spotify:track:2QjOHCTQ1Jl3zawyYOpxh6;https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921;https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6;I Love You.
Until I Found You;0.191;0.757;0.346;0.5;0.0;0.189;0.0388;spotify:track:6VhuP99TE6gYNQRJIlAWFD;https://i.scdn.co/image/ab67616d0000b2739522042f86d0bb0d4e9e3783;https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD;Easy On My Eyes
golden hour;0.153;0.653;0.515;0.593;0.162;0.25;0.0322;spotify:track:5odlY52u43F5BjByhxg7wg;https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954;https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg;this is what ____ feels like (Vol. 1-4)
Calm Down (with Selena Gomez);0.802;0.382;0.801;0.806;0.000669;0.114;0.0381;spotify:track:0WtM2NBVQNNJLh6scP13H8;https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf;https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8;Calm Down (with Selena Gomez)
High Infidelity;0.758;0.712;0.652;0.536;0.0;0.0854;0.0881;spotify:track:4356PL6jkERzJouVfQQkZo;https://i.scdn.co/image/ab67616d0000b273ada1a886fc3150dc695168a7;https://open.spotify.com/track/4356PL6jkERzJouVfQQkZo;Midnights (3am Edition)
Ojitos Lindos;0.268;0.08;0.647;0.686;1.34e-06;0.528;0.0413;spotify:track:3k3NWokhRRkEPhCzPmV8TW;https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72;https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW;Un Verano Sin Ti
Bones;0.587;0.0201;0.772;0.75;0.0;0.074;0.0455;spotify:track:54ipXppHLA8U4yqpOFTUhr;https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13;https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr;Mercury - Acts 1 & 2
I Wanna Be Yours;0.479;0.136;0.464;0.417;0.022;0.0974;0.0256;spotify:track:5XeFesFbtLpXzIVDNQP22n;https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163;https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n;AM
Glimpse of Us;0.268;0.891;0.44;0.317;4.78e-06;0.141;0.0531;spotify:track:6xGruZOHLs39ZbVccQTuPZ;https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7;https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ;Glimpse of Us
Shut Down;0.688;0.00327;0.818;0.69;0.0;0.186;0.0454;spotify:track:7gRFDGEzF9UkBV233yv2dc;https://i.scdn.co/image/ab67616d0000b273002ef53878df1b4e91c15406;https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc;BORN PINK
Die For You;0.508;0.111;0.586;0.525;0.0;0.134;0.0615;spotify:track:2LBqCSwhJGcFQeTHMVGwy3;https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a;https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3;Starboy
Heat Waves;0.531;0.44;0.761;0.525;6.7e-06;0.0921;0.0944;spotify:track:02MWAaffLxlfxAUY7c5dvx;https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx;Dreamland (+ Bonus Levels)
Glitch;0.331;0.313;0.571;0.477;0.0;0.11;0.246;spotify:track:6RJBrG3VHz2hPITjv88chh;https://i.scdn.co/image/ab67616d0000b273ada1a886fc3150dc695168a7;https://open.spotify.com/track/6RJBrG3VHz2hPITjv88chh;Midnights (3am Edition)
Super Freaky Girl;0.923;0.0509;0.951;0.878;1.61e-05;0.321;0.211;spotify:track:2yjlYDiNiQkdxVqTlaSrlX;https://i.scdn.co/image/ab67616d0000b273facb808b493713699283feca;https://open.spotify.com/track/2yjlYDiNiQkdxVqTlaSrlX;Queen Radio: Volume 1
Neverita;0.428;0.0706;0.876;0.498;0.0;0.143;0.0478;spotify:track:31i56LZnwE6uSu3exoHjtB;https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72;https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB;Un Verano Sin Ti
